method,size,lambda,depth,dataset,B,accuracy,distortion,dim,aspectRatio,blocks
qsr,165610860,1,2,../datasets/sift,1.28102,0.0638,1.38456,128,0,2
qsr,198489902,1,3,../datasets/sift,1.53535,0.0523,1.41801,128,0,2
qsr,298153752,2,3,../datasets/sift,2.30626,0.1851,1.15803,128,0,2
qsr,206116538,1,4,../datasets/sift,1.59434,0.0499,1.39555,128,0,2
qsr,333339139,2,4,../datasets/sift,2.57843,0.1941,1.15325,128,0,2
qsr,435975171,3,4,../datasets/sift,3.37233,0.4076,1.04871,128,0,2
qsr,210337147,1,5,../datasets/sift,1.62699,0.044,1.42919,128,0,2
qsr,340802361,2,5,../datasets/sift,2.63616,0.226,1.12555,128,0,2
qsr,466207039,3,5,../datasets/sift,3.60618,0.4525,1.03774,128,0,2
qsr,569131495,4,5,../datasets/sift,4.40232,0.6648,1.01115,128,0,2
qsr,215072088,1,6,../datasets/sift,1.66361,0.0429,1.42342,128,0,2
qsr,342117764,2,6,../datasets/sift,2.64633,0.231,1.12143,128,0,2
qsr,473199878,3,6,../datasets/sift,3.66027,0.488,1.03194,128,0,2
qsr,598046569,4,6,../datasets/sift,4.62598,0.7063,1.00825,128,0,2
qsr,705421027,5,6,../datasets/sift,5.45654,0.824,1.00272,128,0,2
qsr,219252134,1,7,../datasets/sift,1.69595,0.0538,1.38278,128,0,2
qsr,351703856,2,7,../datasets/sift,2.72048,0.2175,1.12792,128,0,2
qsr,478374949,3,7,../datasets/sift,3.7003,0.4824,1.03271,128,0,2
qsr,608868727,4,7,../datasets/sift,4.70969,0.6603,1.01124,128,0,2
qsr,731155115,5,7,../datasets/sift,5.65559,0.8499,1.00187,128,0,2
qsr,840474765,6,7,../datasets/sift,6.5012,0.9025,1.00071,128,0,2
qsr,221837930,1,8,../datasets/sift,1.71595,0.0515,1.37768,128,0,2
qsr,353220925,2,8,../datasets/sift,2.73222,0.217,1.12852,128,0,2
qsr,486761738,3,8,../datasets/sift,3.76517,0.4549,1.0379,128,0,2
qsr,611187004,4,8,../datasets/sift,4.72762,0.6948,1.00877,128,0,2
qsr,739320566,5,8,../datasets/sift,5.71875,0.8524,1.00178,128,0,2
qsr,863361548,6,8,../datasets/sift,6.67823,0.9218,1.00045,128,0,2
qsr,970760615,7,8,../datasets/sift,7.50898,0.9579,1.00015,128,0,2
qsr,231582248,1,9,../datasets/sift,1.79132,0.0335,1.49057,128,0,2
qsr,359742442,2,9,../datasets/sift,2.78266,0.2354,1.11888,128,0,2
qsr,488529973,3,9,../datasets/sift,3.77885,0.4728,1.03414,128,0,2
qsr,619839137,4,9,../datasets/sift,4.79455,0.7054,1.00838,128,0,2
qsr,741778185,5,9,../datasets/sift,5.73776,0.8646,1.00148,128,0,2
qsr,872452400,6,9,../datasets/sift,6.74855,0.9243,1.00041,128,0,2
qsr,995932060,7,9,../datasets/sift,7.70368,0.9596,1.00012,128,0,2
qsr,1106447130,8,9,../datasets/sift,8.55853,0.9764,1.00004,128,0,2
qsr,233385711,1,10,../datasets/sift,1.80527,0.0559,1.37207,128,0,2
qsr,359589626,2,10,../datasets/sift,2.78148,0.252,1.10534,128,0,2
qsr,488141595,3,10,../datasets/sift,3.77585,0.5401,1.02409,128,0,2
qsr,623857264,4,10,../datasets/sift,4.82563,0.6812,1.00971,128,0,2
qsr,747764027,5,10,../datasets/sift,5.78407,0.8543,1.00174,128,0,2
qsr,878974669,6,10,../datasets/sift,6.799,0.9204,1.00047,128,0,2
qsr,1008774617,7,10,../datasets/sift,7.80302,0.9554,1.00015,128,0,2
qsr,1129389792,8,10,../datasets/sift,8.736,0.9809,1.00003,128,0,2
qsr,1242878755,9,10,../datasets/sift,9.61385,0.9871,1.00001,128,0,2
qsr,823826689,6,8,../datasets/sift,6.37242,0.9611,1.00012,128,0,16
qsr,193547254,1,3,../datasets/sift,1.49712,0.2384,1.11743,128,0,16
qsr,260676333,2,4,../datasets/sift,2.01637,0.5001,1.03129,128,0,16
qsr,357703923,3,5,../datasets/sift,2.76689,0.7183,1.00782,128,0,16
qsr,499067045,4,6,../datasets/sift,3.86036,0.8543,1.00185,128,0,16
qsr,658197269,5,7,../datasets/sift,5.09125,0.9177,1.00052,128,0,16
qsr,827171796,6,8,../datasets/sift,6.3983,0.9589,1.00011,128,0,16
qsr,999172148,7,9,../datasets/sift,7.72874,0.9799,1.00003,128,0,16
qsr,133370898,1,2,../datasets/sift,1.03164,0.0942,1.31348,128,0,16
qsr,193541605,2,3,../datasets/sift,1.49707,0.2419,1.12006,128,0,16
qsr,258120628,3,4,../datasets/sift,1.9966,0.5019,1.03027,128,0,16
qsr,355819567,4,5,../datasets/sift,2.75232,0.7182,1.00786,128,0,16
qsr,491541718,5,6,../datasets/sift,3.80215,0.8464,1.00196,128,0,16
qsr,656984913,6,7,../datasets/sift,5.08188,0.9226,1.00045,128,0,16
qsr,829638473,7,8,../datasets/sift,6.41738,0.9581,1.00013,128,0,16
qsr,1003188954,8,9,../datasets/sift,7.75982,0.9801,1.00003,128,0,16
qsr,259220350,1,4,../datasets/sift,2.00511,0.4945,1.03283,128,0,16
qsr,359007520,2,5,../datasets/sift,2.77698,0.7164,1.00787,128,0,16
qsr,496606299,3,6,../datasets/sift,3.84132,0.8477,1.00188,128,0,16
qsr,653999206,4,7,../datasets/sift,5.05878,0.9198,1.00048,128,0,16
qsr,827151105,5,8,../datasets/sift,6.39814,0.962,1.00012,128,0,16
qsr,1003187786,6,9,../datasets/sift,7.75981,0.9815,1.00003,128,0,16
qsr,355091619,1,5,../datasets/sift,2.74669,0.7053,1.00848,128,0,16
qsr,494918823,2,6,../datasets/sift,3.82827,0.8464,1.00204,128,0,16
qsr,655950659,3,7,../datasets/sift,5.07388,0.9214,1.00048,128,0,16
qsr,827296612,4,8,../datasets/sift,6.39926,0.9592,1.00013,128,0,16
qsr,1000566718,5,9,../datasets/sift,7.73953,0.9801,1.00003,128,0,16
qsr,478966442,1,6,../datasets/sift,3.70488,0.8048,1.00399,128,0,16
qsr,642884785,2,7,../datasets/sift,4.97281,0.9004,1.00082,128,0,16
qsr,813698315,3,8,../datasets/sift,6.29408,0.9456,1.00022,128,0,16
qsr,985763586,4,9,../datasets/sift,7.62503,0.9738,1.00005,128,0,16
qsr,581620822,1,7,../datasets/sift,4.49892,0.8264,1.00265,128,0,16
qsr,646936869,1,8,../datasets/sift,5.00415,0.8198,1.00327,128,0,16
qsr,752839696,2,8,../datasets/sift,5.82333,0.914,1.00054,128,0,16
qsr,688234596,1,9,../datasets/sift,5.3236,0.8274,1.00275,128,0,16
qsr,819667742,2,9,../datasets/sift,6.34025,0.913,1.00057,128,0,16
qsr,927187446,3,9,../datasets/sift,7.17193,0.9556,1.00015,128,0,16
qsr,734794298,1,10,../datasets/sift,5.68374,0.833,1.0024,128,0,16
qsr,862198482,2,10,../datasets/sift,6.66923,0.9108,1.00055,128,0,16
qsr,994466544,3,10,../datasets/sift,7.69235,0.9565,1.00014,128,0,16
qsr,1100221577,4,10,../datasets/sift,8.51038,0.9769,1.00004,128,0,16
qsr,1161719109,5,10,../datasets/sift,8.98607,0.9875,1.00001,128,0,16
qsr,1172266600,6,10,../datasets/sift,9.06766,0.9898,1.00001,128,0,16
qsr,1174731467,7,10,../datasets/sift,9.08672,0.9897,1.00001,128,0,16
qsr,1176054372,8,10,../datasets/sift,9.09696,0.9889,1.00001,128,0,16
qsr,1177435772,9,10,../datasets/sift,9.10764,0.9905,1.00001,128,0,16
qsr,102317799,1,2,../datasets/sift,0.791443,0.0997,1.30312,128,0,4
qsr,206945785,1,3,../datasets/sift,1.60076,0.171,1.16327,128,0,4
qsr,220526096,2,3,../datasets/sift,1.7058,0.2485,1.11454,128,0,4
qsr,255076984,1,4,../datasets/sift,1.97306,0.2037,1.1381,128,0,4
qsr,347010611,2,4,../datasets/sift,2.68418,0.4372,1.04257,128,0,4
qsr,359402972,3,4,../datasets/sift,2.78004,0.4954,1.03248,128,0,4
qsr,268471174,1,5,../datasets/sift,2.07666,0.2127,1.12718,128,0,4
qsr,395758144,2,5,../datasets/sift,3.06125,0.4665,1.03597,128,0,4
qsr,492040499,3,5,../datasets/sift,3.80601,0.6741,1.01045,128,0,4
qsr,504372878,4,5,../datasets/sift,3.9014,0.7122,1.0079,128,0,4
qsr,282385258,1,6,../datasets/sift,2.18429,0.2141,1.12841,128,0,4
qsr,407720699,2,6,../datasets/sift,3.15378,0.486,1.03068,128,0,4
qsr,533435350,3,6,../datasets/sift,4.1262,0.7124,1.00778,128,0,4
qsr,613913914,4,6,../datasets/sift,4.74872,0.8341,1.00242,128,0,4
qsr,638796100,5,6,../datasets/sift,4.94118,0.8507,1.0019,128,0,4
qsr,289612886,1,7,../datasets/sift,2.2402,0.2166,1.12694,128,0,4
qsr,420106945,2,7,../datasets/sift,3.24959,0.5005,1.02954,128,0,4
qsr,547371219,3,7,../datasets/sift,4.234,0.7173,1.00767,128,0,4
qsr,673186603,4,7,../datasets/sift,5.2072,0.8457,1.00188,128,0,4
qsr,762004385,5,7,../datasets/sift,5.89422,0.9175,1.00053,128,0,4
qsr,789882748,6,7,../datasets/sift,6.10986,0.9214,1.00048,128,0,4
qsr,297351885,1,8,../datasets/sift,2.30006,0.2098,1.13042,128,0,4
qsr,427889906,2,8,../datasets/sift,3.30979,0.5089,1.02823,128,0,4
qsr,561293017,3,8,../datasets/sift,4.34168,0.7183,1.00746,128,0,4
qsr,688425173,4,8,../datasets/sift,5.32507,0.855,1.0018,128,0,4
qsr,812043891,5,8,../datasets/sift,6.28128,0.9247,1.00046,128,0,4
qsr,899824338,6,8,../datasets/sift,6.96027,0.9551,1.00014,128,0,4
qsr,922785487,7,8,../datasets/sift,7.13788,0.9584,1.00012,128,0,4
qsr,304039055,1,9,../datasets/sift,2.35179,0.215,1.12499,128,0,4
qsr,436438796,2,9,../datasets/sift,3.37592,0.4997,1.02972,128,0,4
qsr,568172942,3,9,../datasets/sift,4.3949,0.7278,1.00712,128,0,4
qsr,700126503,4,9,../datasets/sift,5.41558,0.856,1.0017,128,0,4
qsr,827272817,5,9,../datasets/sift,6.39908,0.9244,1.00043,128,0,4
qsr,951343424,6,9,../datasets/sift,7.35878,0.9583,1.00012,128,0,4
qsr,1045488145,7,9,../datasets/sift,8.08701,0.9784,1.00003,128,0,4
qsr,1065542188,8,9,../datasets/sift,8.24213,0.9806,1.00003,128,0,4
qsr,317555801,1,10,../datasets/sift,2.45634,0.2002,1.1346,128,0,4
qsr,445812894,2,10,../datasets/sift,3.44843,0.4889,1.03247,128,0,4
qsr,577428268,3,10,../datasets/sift,4.46649,0.7009,1.00829,128,0,4
qsr,708438338,4,10,../datasets/sift,5.47988,0.855,1.00169,128,0,4
qsr,839271205,5,10,../datasets/sift,6.49189,0.9254,1.00044,128,0,4
qsr,965470369,6,10,../datasets/sift,7.46806,0.9627,1.0001,128,0,4
qsr,1090334001,7,10,../datasets/sift,8.4339,0.9789,1.00003,128,0,4
qsr,1179398496,8,10,../datasets/sift,9.12282,0.9893,1.00001,128,0,4
qsr,1191069270,9,10,../datasets/sift,9.2131,0.9903,1.00001,128,0,4
qsr,107249792,1,2,../datasets/sift,0.829593,0.1017,1.28542,128,0,8
qsr,160238661,1,3,../datasets/sift,1.23947,0.2387,1.12068,128,0,8
qsr,165556391,2,3,../datasets/sift,1.2806,0.2354,1.11966,128,0,8
qsr,265844811,1,4,../datasets/sift,2.05635,0.4656,1.0373,128,0,8
qsr,271978866,2,4,../datasets/sift,2.1038,0.4904,1.03274,128,0,8
qsr,272665402,3,4,../datasets/sift,2.10911,0.4891,1.03306,128,0,8
qsr,348168834,1,5,../datasets/sift,2.69314,0.5442,1.02305,128,0,8
qsr,408509814,2,5,../datasets/sift,3.15988,0.698,1.00891,128,0,8
qsr,418756551,3,5,../datasets/sift,3.23914,0.7137,1.00782,128,0,8
qsr,426171611,4,5,../datasets/sift,3.2965,0.7102,1.00784,128,0,8
qsr,393631219,1,6,../datasets/sift,3.0448,0.5451,1.02329,128,0,8
qsr,501130326,2,6,../datasets/sift,3.87632,0.7431,1.00619,128,0,8
qsr,555920568,3,6,../datasets/sift,4.30013,0.8359,1.00227,128,0,8
qsr,565431344,4,6,../datasets/sift,4.3737,0.8497,1.0019,128,0,8
qsr,566730384,5,6,../datasets/sift,4.38374,0.844,1.00202,128,0,8
qsr,414498393,1,7,../datasets/sift,3.20621,0.5299,1.02473,128,0,8
qsr,543975795,2,7,../datasets/sift,4.20773,0.7615,1.00518,128,0,8
qsr,651105374,3,7,../datasets/sift,5.0364,0.8725,1.00137,128,0,8
qsr,718223208,4,7,../datasets/sift,5.55556,0.9128,1.00055,128,0,8
qsr,721679973,5,7,../datasets/sift,5.5823,0.9176,1.00053,128,0,8
qsr,723111284,6,7,../datasets/sift,5.59337,0.9192,1.00048,128,0,8
qsr,428552573,1,8,../datasets/sift,3.31492,0.5569,1.02129,128,0,8
qsr,564506067,2,8,../datasets/sift,4.36654,0.7594,1.00515,128,0,8
qsr,695113147,3,8,../datasets/sift,5.3768,0.8658,1.00137,128,0,8
qsr,801568187,4,8,../datasets/sift,6.20025,0.9348,1.00032,128,0,8
qsr,869901413,5,8,../datasets/sift,6.72882,0.958,1.00014,128,0,8
qsr,871223331,6,8,../datasets/sift,6.73904,0.9579,1.00013,128,0,8
qsr,868419004,7,8,../datasets/sift,6.71735,0.9623,1.00011,128,0,8
qsr,446358379,1,9,../datasets/sift,3.45265,0.5542,1.02269,128,0,8
qsr,581115857,2,9,../datasets/sift,4.49502,0.7555,1.00549,128,0,8
qsr,715158417,3,9,../datasets/sift,5.53186,0.8765,1.00123,128,0,8
qsr,846245407,4,9,../datasets/sift,6.54583,0.9358,1.00031,128,0,8
qsr,953054030,5,9,../datasets/sift,7.37201,0.9657,1.00008,128,0,8
qsr,1011091571,6,9,../datasets/sift,7.82094,0.9782,1.00004,128,0,8
qsr,1021377129,7,9,../datasets/sift,7.9005,0.9783,1.00004,128,0,8
qsr,1020723762,8,9,../datasets/sift,7.89545,0.9788,1.00003,128,0,8
qsr,469375935,1,10,../datasets/sift,3.63069,0.555,1.02146,128,0,8
qsr,598436458,2,10,../datasets/sift,4.62899,0.7514,1.00566,128,0,8
qsr,732158921,3,10,../datasets/sift,5.66336,0.8736,1.00124,128,0,8
qsr,867063583,4,10,../datasets/sift,6.70687,0.9319,1.00033,128,0,8
qsr,998916356,5,10,../datasets/sift,7.72677,0.9651,1.00009,128,0,8
qsr,1107322285,6,10,../datasets/sift,8.5653,0.9811,1.00003,128,0,8
qsr,1163224703,7,10,../datasets/sift,8.99772,0.9897,1.00001,128,0,8
qsr,1177499206,8,10,../datasets/sift,9.10813,0.9889,1.00001,128,0,8
qsr,1170101517,9,10,../datasets/sift,9.05091,0.9895,1.00001,128,0,8
qsr,172718908,1,2,../datasets/sift,1.33601,0.1011,1.29169,128,0,32
qsr,248501919,1,3,../datasets/sift,1.9222,0.2078,1.13818,128,0,32
qsr,249511866,2,3,../datasets/sift,1.93001,0.2435,1.11807,128,0,32
qsr,346726020,1,4,../datasets/sift,2.68198,0.3361,1.07315,128,0,32
qsr,344704046,2,4,../datasets/sift,2.66634,0.4984,1.0317,128,0,32
qsr,342674633,3,4,../datasets/sift,2.65064,0.4986,1.032,128,0,32
qsr,444693382,1,5,../datasets/sift,3.43977,0.626,1.0173,128,0,32
qsr,444709871,2,5,../datasets/sift,3.4399,0.71,1.00851,128,0,32
qsr,444706620,3,5,../datasets/sift,3.43987,0.7073,1.00819,128,0,32
qsr,444726758,4,5,../datasets/sift,3.44003,0.7086,1.00803,128,0,32
qsr,549924416,1,6,../datasets/sift,4.25375,0.5787,1.02858,128,0,32
qsr,547948595,2,6,../datasets/sift,4.23846,0.8533,1.00192,128,0,32
qsr,548024709,3,6,../datasets/sift,4.23905,0.8492,1.00194,128,0,32
qsr,547077148,4,6,../datasets/sift,4.23172,0.8491,1.00198,128,0,32
qsr,546972345,5,6,../datasets/sift,4.23091,0.8472,1.00191,128,0,32
qsr,663027781,1,7,../datasets/sift,5.12862,0.4574,1.05264,128,0,32
qsr,666069106,2,7,../datasets/sift,5.15214,0.9186,1.00052,128,0,32
qsr,665502640,3,7,../datasets/sift,5.14776,0.9161,1.0005,128,0,32
qsr,666649996,4,7,../datasets/sift,5.15664,0.9182,1.00049,128,0,32
qsr,664536511,5,7,../datasets/sift,5.14029,0.9173,1.00053,128,0,32
qsr,665616798,6,7,../datasets/sift,5.14864,0.9251,1.00046,128,0,32
qsr,787216938,1,8,../datasets/sift,6.08924,0.6046,1.02894,128,0,32
qsr,795158571,2,8,../datasets/sift,6.15067,0.9564,1.00013,128,0,32
qsr,794161906,3,8,../datasets/sift,6.14296,0.9606,1.00012,128,0,32
qsr,795225565,4,8,../datasets/sift,6.15119,0.9602,1.00013,128,0,32
qsr,795193558,5,8,../datasets/sift,6.15094,0.9587,1.00013,128,0,32
qsr,794338400,6,8,../datasets/sift,6.14433,0.9591,1.00012,128,0,32
qsr,795228026,7,8,../datasets/sift,6.15121,0.9579,1.00013,128,0,32
qsr,913413524,1,9,../datasets/sift,7.06539,0.5063,1.04016,128,0,32
qsr,945067899,2,9,../datasets/sift,7.31024,0.9715,1.00008,128,0,32
qsr,952845463,3,9,../datasets/sift,7.3704,0.9791,1.00003,128,0,32
qsr,952880025,4,9,../datasets/sift,7.37067,0.9786,1.00003,128,0,32
qsr,954027316,5,9,../datasets/sift,7.37954,0.9799,1.00003,128,0,32
qsr,953756750,6,9,../datasets/sift,7.37745,0.9799,1.00003,128,0,32
qsr,954186131,7,9,../datasets/sift,7.38077,0.9796,1.00003,128,0,32
qsr,953209625,8,9,../datasets/sift,7.37322,0.9788,1.00003,128,0,32
qsr,988893230,1,10,../datasets/sift,7.64924,0.4466,1.05152,128,0,32
qsr,1052092161,2,10,../datasets/sift,8.13809,0.9743,1.00005,128,0,32
qsr,1083124104,3,10,../datasets/sift,8.37813,0.9864,1.00002,128,0,32
qsr,1091464462,4,10,../datasets/sift,8.44264,0.9893,1.00001,128,0,32
qsr,1091726305,5,10,../datasets/sift,8.44467,0.991,1.00001,128,0,32
qsr,1092642579,6,10,../datasets/sift,8.45175,0.9901,1.00001,128,0,32
qsr,1092343489,7,10,../datasets/sift,8.44944,0.9906,1.00001,128,0,32
qsr,1091483886,8,10,../datasets/sift,8.44279,0.9884,1.00001,128,0,32
qsr,1090701837,9,10,../datasets/sift,8.43674,0.9912,1.00001,128,0,32
